,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State,City,CityFIPS
422174,50.0,-12.0,74.0,31.0,100.0,Michigan,Warren,2684000.0
423427,50.0,-14.0,74.0,30.0,101.0,Michigan,Westland,2686000.0
424624,47.0,-28.0,72.0,25.0,101.0,Minnesota,Bloomington,2706616.0
425268,46.0,-29.0,71.0,23.0,98.0,Minnesota,Brooklyn Park,2707966.0
425688,42.0,-26.0,65.0,23.0,93.0,Minnesota,Duluth,2717000.0
426751,47.0,-28.0,72.0,25.0,101.0,Minnesota,Minneapolis,2743000.0
429960,46.0,-29.0,71.0,23.0,98.0,Minnesota,Plymouth,2751730.0
430026,45.0,-29.0,70.0,21.0,96.0,Minnesota,Rochester,2754880.0
431423,46.0,-27.0,70.0,25.0,97.0,Minnesota,St. Paul,2758000.0
433747,68.0,18.0,84.0,50.0,102.0,Mississippi,Gulfport,2829700.0
434414,64.0,13.0,86.0,45.0,102.0,Mississippi,Jackson,2836000.0
435976,55.0,-11.0,80.0,32.0,106.0,Missouri,Columbia,2915670.0
436704,56.0,-8.0,79.0,33.0,104.0,Missouri,Independence,2935000.0
437618,57.0,-7.0,81.0,35.0,105.0,Missouri,Kansas City,2938000.0
442339,56.0,-8.0,79.0,33.0,104.0,Missouri,Lee's Summit,2941348.0
443030,55.0,-11.0,81.0,31.0,106.0,Missouri,O'Fallon,2954074.0
443694,53.0,-17.0,79.0,28.0,104.0,Missouri,St. Joseph,2964550.0
444422,56.0,-7.0,80.0,33.0,105.0,Missouri,St. Louis,2965000.0
447446,56.0,-10.0,81.0,32.0,106.0,Missouri,Springfield,2970000.0
449004,49.0,-21.0,76.0,23.0,103.0,Montana,Billings,3006550.0
449840,47.0,-19.0,72.0,22.0,104.0,Montana,Missoula,3050200.0
450344,52.0,-19.0,80.0,26.0,105.0,Nebraska,Lincoln,3128000.0
452346,53.0,-12.0,79.0,29.0,103.0,Nebraska,Omaha,3137000.0
456560,73.0,23.0,92.0,51.0,115.0,Nevada,Henderson,3231900.0
458515,71.0,24.0,91.0,50.0,114.0,Nevada,Las Vegas,3240000.0
462934,71.0,22.0,92.0,49.0,115.0,Nevada,North Las Vegas,3251800.0
464385,57.0,-6.0,82.0,33.0,104.0,Nevada,Reno,3260600.0
